Store,Age0to9,Age10to17,Age18to24,Age25to29,Age30to39,Age40to49,Age50to64,Age65Plus,EdLTHS,EdHSGrad,EdSomeCol,EdAssociate,EdBachelor,EdMaster,EdProfSchl,EdDoctorate,HHSz1Per,HHSz2Per,HHSz3Per,HHSz4Per,HHSz5PlusPer,HHIncU25K,HHInc25Kto50K,HHInc50Kto75K,HHInc75Kto100K,HHInc100Kto150K,HHInc150Kto250K,HHInc250KPlus,PopAsian,PopBlack,PopHispanic,PopMulti,PopNativeAmer,PopOther,PopPacIsl,PopWhite,HVal0to100K,HVal100Kto200K,HVal200Kto300K,HVal300Kto400K,HVal400Kto500K,HVal500Kto750K,HVal750KPlus,PopDens
S0068,0.100761322,0.10065144,9.14E-02,8.12E-02,0.155027078,0.160191508,0.178117887,0.132626952,0.16194979,0.186810504,0.219218219,8.82E-02,0.232825021,7.79E-02,1.24E-02,9.21E-03,0.298328603,0.292731,0.168479975,0.147784611,9.26E-02,0.218148849,0.225520341,0.191185746,0.125197099,0.145853043,6.42E-02,2.99E-02,0.121876177,2.31E-02,0.274551049,3.03E-02,1.74E-03,2.59E-03,8.95E-04,0.54489514,1.85E-02,2.57E-02,5.46E-02,0.139114161,0.189644417,0.396548139,0.17592015,8173.434041
S0069,0.123393162,9.54E-02,7.67E-02,5.84E-02,0.131693285,0.150900428,0.206903784,0.156473796,0.140371773,0.210983028,0.186949679,8.90E-02,0.194563784,7.87E-02,2.28E-02,1.11E-02,0.28502523,0.334223805,0.162882161,0.129934699,8.79E-02,0.161323835,0.180543188,0.198946275,0.14084298,0.185811814,8.70E-02,4.56E-02,4.65E-02,4.25E-02,0.347505618,3.22E-02,3.21E-03,2.85E-03,2.76E-03,0.522486891,2.32E-02,3.05E-02,0.131935709,0.125366876,0.148427673,0.285674354,0.254926625,8009.700608
S0070,0.150104284,0.124995989,0.104107172,7.29E-02,0.141087759,0.141280282,0.170399487,9.52E-02,0.218607055,0.211681096,0.227264504,9.09E-02,0.167644399,4.60E-02,6.20E-03,6.23E-03,0.239036594,0.250122633,0.164475621,0.151967036,0.194398116,0.245315413,0.245707839,0.188413617,0.101932699,0.13298342,5.85E-02,2.71E-02,0.14237125,0.170447618,0.429472164,2.82E-02,2.71E-03,2.02E-03,1.75E-02,0.207299856,5.67E-02,5.34E-02,0.16023225,0.241927269,0.201894673,0.204848732,8.10E-02,9720.437981
S0071,0.174457333,0.126851958,0.112667968,7.76E-02,0.118525324,0.123521305,0.159526818,0.106753187,0.198530132,0.315727585,0.202253797,6.99E-02,3.66E-02,4.20E-02,8.43E-03,8.62E-03,0.270511391,0.273697626,0.170463597,0.126015613,0.159311773,0.36115979,0.242950454,0.176198821,0.107057512,9.45E-02,1.39E-02,3.98E-03,2.61E-02,0.147459087,0.446396784,3.75E-02,1.22E-02,8.61E-04,8.84E-03,0.320643124,0.434045439,0.417429637,0.125805358,1.12E-02,6.78E-04,6.78E-04,1.02E-02,2885.765082
S0072,0.165828011,0.131539901,0.113702342,7.39E-02,0.126185407,0.133120444,0.158441391,9.73E-02,0.281888384,0.260967194,0.214250507,0.100936524,7.85E-02,2.16E-02,4.66E-03,3.78E-03,0.249856679,0.257691573,0.155646856,0.14599656,0.190712784,0.298968087,0.265335372,0.182017963,0.113414867,0.106535448,2.34E-02,1.01E-02,3.28E-02,0.04312625,0.549254887,2.62E-02,6.81E-03,1.94E-03,2.29E-03,0.337623379,0.133700441,0.117621145,0.362114537,0.246475771,9.25E-02,4.30E-02,4.63E-03,7058.249667
S0073,0.107920021,0.1056349,0.101584004,6.89E-02,0.109633861,0.141573617,0.189924695,0.174759803,0.115273775,0.150993478,0.160094039,8.08E-02,0.210602154,0.127862885,2.42E-02,4.26E-02,0.255621465,0.323492896,0.151055318,0.144295765,0.125534556,0.13367361,0.186784384,0.201958891,0.152296869,0.19961374,8.36E-02,4.21E-02,7.27E-02,1.10E-02,0.323691317,2.01E-02,3.06E-03,1.87E-03,1.09E-03,0.56652472,3.21E-02,1.41E-02,2.11E-02,2.58E-02,6.08E-02,0.3509113,0.495261239,2986.620017
S0074,0.133305403,0.130853738,0.107811191,6.69E-02,0.133631257,0.142708624,0.173695807,0.111023182,0.276653572,0.257505003,0.212783831,7.24E-02,0.11830109,3.51E-02,1.14E-02,2.62E-03,0.136342987,0.209823964,0.174900625,0.193696763,0.285235662,0.1439523,0.20931289,0.214707553,0.160874503,0.194378194,5.79E-02,1.90E-02,0.163638338,3.04E-02,0.642900368,1.32E-02,1.83E-03,1.55E-03,1.46E-03,0.14504942,1.23E-02,4.32E-02,8.31E-02,0.282619359,0.314748201,0.256540222,7.44E-03,7231.861212
S0075,0.137296425,0.124730906,0.110831617,7.30E-02,0.127644141,0.135927555,0.16116389,0.1294693,0.261454369,0.258152377,0.203529587,8.37E-02,0.11135363,3.68E-02,1.15E-02,2.00E-03,0.222091237,0.254099239,0.174222127,0.159075483,0.190511914,0.290251134,0.304111742,0.167434716,0.106705248,8.88E-02,3.10E-02,1.17E-02,4.53E-02,3.18E-02,0.704733714,1.77E-02,3.22E-03,1.57E-03,4.54E-03,0.191126919,0.109112813,0.123053094,0.215041735,0.266844506,0.200585148,8.40E-02,1.38E-03,8536.323205
S0076,0.114796154,9.67E-02,9.40E-02,7.59E-02,0.156998244,0.145118794,0.185679948,0.130789498,0.211561502,0.173921725,0.226071619,6.26E-02,0.206436368,9.17E-02,3.13E-02,1.88E-02,0.266704632,0.294798785,0.162870159,0.133194128,0.142432296,0.212730954,0.219248292,0.168248545,0.119273602,0.1576816,7.76E-02,4.52E-02,0.16231395,3.16E-02,0.488421004,2.19E-02,3.21E-03,2.31E-03,7.16E-04,0.289451789,2.15E-02,4.42E-02,9.26E-02,0.173088685,0.16146789,0.329663609,0.177492355,6382.108151
S0077,0.105212121,0.100606061,9.56E-02,6.97E-02,0.117818182,0.140509091,0.197672727,0.17289697,0.115197779,0.183483692,0.168632894,7.13E-02,0.219708536,9.76E-02,2.83E-02,2.96E-02,0.261639608,0.312089092,0.161143164,0.137394338,0.127733798,0.147189051,0.173084664,0.185697035,0.148396619,0.202468805,9.35E-02,4.94E-02,5.91E-02,1.27E-02,0.341915152,2.11E-02,3.49E-03,2.08E-03,8.24E-04,0.558739394,2.43E-02,3.19E-02,5.18E-02,2.85E-02,5.90E-02,0.30895626,0.495487156,3522.761586
